date,speaker,topic,party,state
2015-01-12,KAINE,Trade,D,VA
2015-01-12,KAINE,Trade,D,VA
2015-01-12,KAINE,Trade,D,VA
2015-01-12,KAINE,Trade,D,VA
2015-01-12,KAINE,Trade,D,VA
2015-01-12,McCASKILL,Healthcare,D,MO
2015-01-12,COONS,Nominations,D,DE
2015-01-12,WARNER,Healthcare,D,VA
2015-01-12,PORTMAN,Healthcare,R,OH
2015-01-12,PORTMAN,Healthcare,R,OH
2015-01-12,BOXER,International Relations,D,CA
2015-01-13,McCONNELL,International Relations,R,KY
2015-01-13,McCONNELL,International Relations,R,KY
2015-01-13,DURBIN,Climate Change,D,IL
2015-01-13,DURBIN,International Relations,D,IL
2015-01-13,TOOMEY,Nominations,R,PA
2015-01-13,TOOMEY,Nominations,R,PA
2015-01-13,TOOMEY,Nominations,R,PA
2015-01-13,TOOMEY,Nominations,R,PA
2015-01-13,TOOMEY,Nominations,R,PA
2015-01-13,TOOMEY,Nominations,R,PA
2015-01-13,TOOMEY,Nominations,R,PA
2015-01-13,TOOMEY,Nominations,R,PA
2015-01-13,GRASSLEY,Healthcare,R,IA
2015-01-13,LEAHY,Healthcare,D,VT
2015-01-13,CARPER,Healthcare,D,DE
2015-01-13,AYOTTE,Nominations,R,NH
2015-01-13,HELLER,Nominations,R,NV
2015-01-13,HELLER,Nominations,R,NV
2015-01-13,MARKEY,Healthcare,D,MA
2015-01-13,MARKEY,Healthcare,D,MA
2015-01-13,MARKEY,Healthcare,D,MA
2015-01-13,MARKEY,Healthcare,D,MA
2015-01-13,MARKEY,Infrastructure,D,MA
2015-01-13,MARKEY,Infrastructure,D,MA
2015-01-13,MARKEY,Infrastructure,D,MA
2015-01-13,SULLIVAN,Nominations,R,AK
2015-01-16,LEAHY,International Relations,D,VT
2015-01-16,FEINSTEIN,International Relations,D,CA
2015-01-16,SANDERS,Healthcare,I,VT
2015-01-16,VITTER,Healthcare,R,LA
2015-01-16,McCONNELL,Amendments,R,KY
2015-01-16,GARDNER,Healthcare,R,CO
2015-01-16,GARDNER,Healthcare,R,CO
2015-01-16,GARDNER,Healthcare,R,CO
2015-01-16,GARDNER,Amendments,R,CO
2015-01-16,GARDNER,Amendments,R,CO
2015-01-16,GARDNER,Amendments,R,CO
2015-01-16,GARDNER,Amendments,R,CO
2015-01-16,GARDNER,Amendments,R,CO
2015-01-16,GARDNER,Amendments,R,CO
2015-01-16,GARDNER,Amendments,R,CO
2015-01-16,GARDNER,Amendments,R,CO
2015-01-16,GARDNER,Amendments,R,CO
2015-01-16,GARDNER,Amendments,R,CO
2015-01-16,GARDNER,Amendments,R,CO
2015-01-16,GARDNER,Amendments,R,CO
2015-01-16,GARDNER,Amendments,R,CO
2015-01-16,GARDNER,Amendments,R,CO
2015-01-16,GARDNER,Amendments,R,CO
2015-01-20,DURBIN,International Relations,D,IL
2015-01-20,DURBIN,Mental Health,D,IL
2015-01-20,DURBIN,International Relations,D,IL
2015-01-20,McCASKILL,Trade,D,MO
2015-01-20,McCASKILL,Trade,D,MO
2015-01-20,THUNE,Climate Change,R,SD
2015-01-20,BOOZMAN,International Relations,R,AR
2015-01-20,BOOZMAN,International Relations,R,AR
2015-01-20,REID,Nominations,D,NV
2015-01-20,THUNE,Nominations,R,SD
2015-01-20,CRAPO,Nominations,R,ID
2015-01-20,BOXER,Healthcare,D,CA
2015-01-20,SANDERS,Mental Health,I,VT
2015-01-20,WYDEN,Mental Health,D,OR
2015-01-20,THUNE,Healthcare,R,SD
2015-01-20,MURPHY,Healthcare,D,CT
2015-01-20,MURPHY,Healthcare,D,CT
2015-01-20,SCOTT,Civil Rights,R,SC
2015-01-20,SULLIVAN,Budget,R,AK
2015-01-21,McCONNELL,International Relations,R,KY
2015-01-21,DURBIN,Mental Health,D,IL
2015-01-21,DURBIN,International Relations,D,IL
2015-01-21,BLUNT,Civil Rights,R,MO
2015-01-21,BLUNT,Civil Rights,R,MO
2015-01-21,KLOBUCHAR,International Relations,D,MN
2015-01-21,LEE,Infrastructure,R,UT
2015-01-21,LEE,Infrastructure,R,UT
2015-01-21,LEE,Infrastructure,R,UT
2015-01-21,INHOFE,Nominations,R,OK
2015-01-21,ISAKSON,Nominations,R,GA
2015-01-21,SANDERS,Mental Health,I,VT
2015-01-21,INHOFE,Healthcare,R,OK
2015-01-21,ISAKSON,Healthcare,R,GA
2015-01-21,LANKFORD,Healthcare,R,OK
2015-01-21,LANKFORD,Healthcare,R,OK
2015-01-21,LANKFORD,Healthcare,R,OK
2015-01-21,LANKFORD,Healthcare,R,OK
2015-01-21,LANKFORD,Healthcare,R,OK
2015-01-21,LANKFORD,Healthcare,R,OK
2015-01-21,LANKFORD,Healthcare,R,OK
2015-01-21,LANKFORD,Healthcare,R,OK
2015-01-21,LANKFORD,Healthcare,R,OK
2015-01-21,LANKFORD,Healthcare,R,OK
2015-01-21,LANKFORD,Healthcare,R,OK
2015-01-21,LANKFORD,Healthcare,R,OK
2015-01-21,LANKFORD,Healthcare,R,OK
2015-01-21,WHITEHOUSE,International Relations,D,RI
2015-01-22,McCONNELL,International Relations,R,KY
2015-01-22,DURBIN,International Relations,D,IL
2015-01-22,DURBIN,Climate Change,D,IL
2015-01-22,DURBIN,Climate Change,D,IL
2015-01-22,TILLIS,Budget,R,NC
2015-01-22,TILLIS,Budget,R,NC
2015-01-22,TILLIS,Budget,R,NC
2015-01-22,TILLIS,Budget,R,NC
2015-01-22,TILLIS,Budget,R,NC
2015-01-22,TILLIS,Budget,R,NC
2015-01-22,TILLIS,Budget,R,NC
2015-01-22,TILLIS,Budget,R,NC
2015-01-22,TILLIS,Budget,R,NC
2015-01-22,TILLIS,Budget,R,NC
2015-01-22,TILLIS,Budget,R,NC
2015-01-22,TILLIS,Budget,R,NC
2015-01-22,TILLIS,Budget,R,NC
2015-01-22,TILLIS,Budget,R,NC
2015-01-22,TILLIS,Budget,R,NC
2015-01-22,TILLIS,Budget,R,NC
2015-01-22,TILLIS,Budget,R,NC
2015-01-22,TILLIS,Budget,R,NC
2015-01-22,TILLIS,Budget,R,NC
2015-01-22,TILLIS,Budget,R,NC
2015-01-22,TILLIS,Budget,R,NC
2015-01-22,TILLIS,Budget,R,NC
2015-01-22,TILLIS,Budget,R,NC
2015-01-22,TILLIS,Budget,R,NC
2015-01-22,TILLIS,Budget,R,NC
2015-01-22,TILLIS,Budget,R,NC
2015-01-22,TILLIS,Budget,R,NC
2015-01-22,TILLIS,Budget,R,NC
2015-01-22,TILLIS,Budget,R,NC
2015-01-22,TILLIS,Budget,R,NC
2015-01-22,TILLIS,Budget,R,NC
2015-01-22,TILLIS,Budget,R,NC
2015-01-22,TILLIS,Budget,R,NC
2015-01-22,TILLIS,Budget,R,NC
2015-01-22,TILLIS,Budget,R,NC
2015-01-22,McCONNELL,Mental Health,R,KY
2015-01-22,REID,Healthcare,D,NV
2015-01-22,DURBIN,International Relations,D,IL
2015-01-22,HATCH,Nominations,R,UT
2015-01-22,GRASSLEY,Nominations,R,IA
2015-01-22,JOHNSON,Nominations,R,WI
2015-01-22,BARRASSO,Education,R,WY
2015-01-22,ALEXANDER,Healthcare,R,TN
2015-01-22,MURKOWSKI,Healthcare,R,AK
2015-01-22,MURKOWSKI,Healthcare,R,AK
2015-01-22,VITTER,Healthcare,R,LA
2015-01-22,WHITEHOUSE,Healthcare,D,RI
2015-01-22,BOOKER,Healthcare,D,NJ
2015-01-22,BOOKER,Healthcare,D,NJ
2015-01-22,JOHNSON,Military,R,WI
2015-01-22,JOHNSON,Healthcare,R,WI
2015-01-22,HATCH,Healthcare,R,UT
2015-01-22,GRASSLEY,Healthcare,R,IA
2015-01-22,BOXER,Healthcare,D,CA
2015-01-22,McCONNELL,Healthcare,R,KY
2015-01-22,TILLIS,Budget,R,NC
2015-01-22,TILLIS,Budget,R,NC
2015-01-22,TILLIS,Budget,R,NC
2015-01-22,TILLIS,Budget,R,NC
2015-01-22,TILLIS,Budget,R,NC
2015-01-22,TILLIS,Budget,R,NC
2015-01-22,TILLIS,Budget,R,NC
2015-01-22,TILLIS,Budget,R,NC
2015-01-22,TILLIS,Budget,R,NC
2015-01-22,TILLIS,Budget,R,NC
2015-01-22,TILLIS,Budget,R,NC
2015-01-22,TILLIS,Budget,R,NC
2015-01-22,TILLIS,Budget,R,NC
2015-01-22,TILLIS,Budget,R,NC
2015-01-22,TILLIS,Budget,R,NC
2015-01-22,TILLIS,Budget,R,NC
2015-01-22,TILLIS,Budget,R,NC
2015-01-22,TILLIS,Budget,R,NC
2015-01-22,TILLIS,Budget,R,NC
2015-01-22,TILLIS,Budget,R,NC
2015-01-22,TILLIS,Budget,R,NC
2015-01-22,TILLIS,Budget,R,NC
2015-01-22,TILLIS,Budget,R,NC
2015-01-22,TILLIS,Budget,R,NC
2015-01-22,TILLIS,Budget,R,NC
2015-01-26,DURBIN,International Relations,D,IL
2015-01-26,DURBIN,Healthcare,D,IL
2015-01-26,PETERS,Budget,D,MI
2015-01-26,PETERS,Budget,D,MI
2015-01-26,PETERS,Budget,D,MI
2015-01-26,PETERS,Budget,D,MI
2015-01-26,PETERS,Budget,D,MI
2015-01-26,PETERS,Budget,D,MI
2015-01-26,PETERS,Budget,D,MI
2015-01-26,PETERS,Budget,D,MI
2015-01-26,PETERS,Budget,D,MI
2015-01-26,PETERS,Budget,D,MI
2015-01-26,PETERS,Budget,D,MI
2015-01-26,PETERS,Budget,D,MI
2015-01-26,PETERS,Budget,D,MI
2015-01-26,PETERS,Budget,D,MI
2015-01-26,PETERS,Budget,D,MI
2015-01-26,PETERS,Budget,D,MI
2015-01-26,DURBIN,Mental Health,D,IL
2015-01-26,LEAHY,Nominations,D,VT
2015-01-26,LEAHY,Healthcare,D,VT
2015-01-26,FEINSTEIN,Nominations,D,CA
2015-01-26,ALEXANDER,Healthcare,R,TN
2015-01-26,ISAKSON,Healthcare,R,GA
2015-01-26,KAINE,Trade,D,VA
2015-01-26,KAINE,Trade,D,VA
2015-01-26,CASSIDY,Healthcare,R,LA
2015-01-26,MANCHIN,Healthcare,D,WV
2015-01-26,MURKOWSKI,Healthcare,R,AK
2015-01-26,FEINSTEIN,International Relations,D,CA
2015-01-26,HOEVEN,Mental Health,R,ND
2015-01-26,COONS,Climate Change,D,DE
2015-01-26,COONS,International Relations,D,DE
2015-01-27,DURBIN,Climate Change,D,IL
2015-01-27,VITTER,Healthcare,R,LA
2015-01-27,BOOZMAN,Nominations,R,AR
2015-01-27,HELLER,Nominations,R,NV
2015-01-28,DURBIN,International Relations,D,IL
2015-01-28,KING,International Relations,I,ME
2015-01-28,BLUMENTHAL,International Relations,D,CT
2015-01-28,BLUMENTHAL,International Relations,D,CT
2015-01-28,BLUMENTHAL,International Relations,D,CT
2015-01-28,DAINES,Mental Health,R,MT
2015-01-28,DAINES,Mental Health,R,MT
2015-01-28,DAINES,Mental Health,R,MT
2015-01-28,DAINES,Mental Health,R,MT
2015-01-28,McCONNELL,Mental Health,R,KY
2015-01-28,ROBERTS,Nominations,R,KS
2015-01-28,KING,Education,I,ME
2015-01-28,KING,Education,I,ME
2015-01-28,KING,Education,I,ME
2015-01-28,COLLINS,Nominations,R,ME
2015-01-28,VITTER,Nominations,R,LA
2015-01-28,BARRASSO,Healthcare,R,WY
2015-01-28,SESSIONS,Healthcare,R,AL
2015-01-28,ALEXANDER,Mental Health,R,TN
2015-01-28,LANKFORD,Healthcare,R,OK
2015-01-28,PORTMAN,Civil Rights,R,OH
2015-01-28,PORTMAN,Civil Rights,R,OH
2015-01-28,PORTMAN,Civil Rights,R,OH
2015-01-28,ALEXANDER,Healthcare,R,TN
2015-01-28,VITTER,Healthcare,R,LA
2015-01-28,COLLINS,Healthcare,R,ME
2015-01-28,CORKER,Healthcare,R,TN
2015-01-28,ROBERTS,Healthcare,R,KS
2015-01-28,BARRASSO,Healthcare,R,WY
2015-01-28,BROWN,Mental Health,D,OH
2015-01-28,VITTER,Trade,R,LA
2015-01-28,CARDIN,Civil Rights,D,MD
2015-01-28,HEITKAMP,Healthcare,D,ND
2015-01-29,McCONNELL,International Relations,R,KY
2015-01-29,DURBIN,International Relations,D,IL
2015-01-29,DURBIN,International Relations,D,IL
2015-01-29,CARPER,Healthcare,D,DE
2015-01-29,CARDIN,International Relations,D,MD
2015-01-29,CARDIN,International Relations,D,MD
2015-01-29,CARDIN,Civil Rights,D,MD
2015-01-29,CARDIN,Civil Rights,D,MD
2015-01-29,BOOZMAN,Healthcare,R,AR
2015-01-29,THUNE,Climate Change,R,SD
2015-01-29,THUNE,Climate Change,R,SD
2015-01-29,UDALL,Healthcare,D,NM
2015-01-29,PERDUE,International Relations,R,GA
2015-01-29,PERDUE,International Relations,R,GA
2015-01-29,PERDUE,International Relations,R,GA
2015-01-29,PERDUE,International Relations,R,GA
2015-01-29,PERDUE,International Relations,R,GA
2015-01-29,PERDUE,International Relations,R,GA
2015-01-29,PERDUE,International Relations,R,GA
2015-01-29,PERDUE,International Relations,R,GA
2015-01-29,PERDUE,International Relations,R,GA
2015-01-29,PERDUE,International Relations,R,GA
2015-01-29,PERDUE,International Relations,R,GA
2015-01-29,PERDUE,International Relations,R,GA
2015-01-29,PERDUE,International Relations,R,GA
2015-01-29,PERDUE,International Relations,R,GA
2015-01-29,PERDUE,International Relations,R,GA
2015-01-29,PERDUE,International Relations,R,GA
2015-01-29,PERDUE,International Relations,R,GA
2015-01-29,PERDUE,International Relations,R,GA
2015-01-29,PERDUE,International Relations,R,GA
2015-01-29,PERDUE,International Relations,R,GA
2015-01-29,PERDUE,International Relations,R,GA
2015-01-29,PERDUE,International Relations,R,GA
2015-01-29,PERDUE,International Relations,R,GA
2015-01-29,PERDUE,International Relations,R,GA
2015-01-29,PERDUE,International Relations,R,GA
2015-01-29,PERDUE,International Relations,R,GA
2015-01-29,PERDUE,International Relations,R,GA
2015-01-29,PERDUE,International Relations,R,GA
2015-01-29,PERDUE,International Relations,R,GA
2015-01-29,PERDUE,International Relations,R,GA
2015-01-29,PERDUE,International Relations,R,GA
2015-01-29,PERDUE,International Relations,R,GA
2015-01-29,SANDERS,International Relations,I,VT
2015-01-29,HATCH,Healthcare,R,UT
2015-01-29,COCHRAN,Healthcare,R,MS
2015-01-29,ISAKSON,Civil Rights,R,GA
2015-01-29,BOXER,Nominations,D,CA
2015-01-29,BOOZMAN,Mental Health,R,AR
2015-01-29,McCAIN,Healthcare,R,AZ
2015-01-29,BLUNT,Healthcare,R,MO
2015-01-29,BURR,Healthcare,R,NC
2015-01-29,BALDWIN,Healthcare,D,WI
2015-01-29,ENZI,Healthcare,R,WY
2015-01-29,ISAKSON,International Relations,R,GA
2015-01-29,BROWN,Mental Health,D,OH
2015-01-29,BROWN,International Relations,D,OH
2015-01-29,BROWN,International Relations,D,OH
2015-01-30,ALEXANDER,International Relations,R,TN
2015-01-30,AYOTTE,Healthcare,R,NH
2015-01-30,AYOTTE,Healthcare,R,NH
2015-01-30,VITTER,Healthcare,R,LA
2015-02-02,McCONNELL,International Relations,R,KY
2015-02-02,REID,International Relations,D,NV
2015-02-02,DURBIN,Healthcare,D,IL
2015-02-02,SULLIVAN,Nominations,R,AK
2015-02-02,REID,Healthcare,D,NV
2015-02-02,CORKER,Nominations,R,TN
2015-02-02,SCOTT,Healthcare,R,SC
2015-02-02,SCOTT,Nominations,R,SC
2015-02-02,MARKEY,Healthcare,D,MA
2015-02-02,HEITKAMP,Healthcare,D,ND
2015-02-02,SESSIONS,International Relations,R,AL
2015-02-03,REID,International Relations,D,NV
2015-02-03,REID,International Relations,D,NV
2015-02-03,BOOKER,International Relations,D,NJ
2015-02-03,BOOKER,International Relations,D,NJ
2015-02-03,BOOKER,International Relations,D,NJ
2015-02-03,BOOKER,International Relations,D,NJ
2015-02-03,VITTER,International Relations,R,LA
2015-02-03,VITTER,International Relations,R,LA
2015-02-03,BLUMENTHAL,Nominations,D,CT
2015-02-03,BLUMENTHAL,Nominations,D,CT
2015-02-03,BLUMENTHAL,Nominations,D,CT
2015-02-03,BLUMENTHAL,Nominations,D,CT
2015-02-03,BLUMENTHAL,Nominations,D,CT
2015-02-03,BLUMENTHAL,Nominations,D,CT
2015-02-03,BLUMENTHAL,Nominations,D,CT
2015-02-03,BLUMENTHAL,Nominations,D,CT
2015-02-03,BALDWIN,Trade,D,WI
2015-02-03,BALDWIN,Trade,D,WI
2015-02-03,BROWN,Healthcare,D,OH
2015-02-03,BROWN,Healthcare,D,OH
2015-02-03,McCONNELL,Nominations,R,KY
2015-02-03,McCONNELL,Healthcare,R,KY
2015-02-03,BURR,Healthcare,R,NC
2015-02-03,BURR,Healthcare,R,NC
2015-02-03,LEAHY,Healthcare,D,VT
2015-02-03,MANCHIN,Healthcare,D,WV
2015-02-03,WARREN,Healthcare,D,MA
2015-02-03,MURRAY,Infrastructure,D,WA
2015-02-04,DURBIN,Budget,D,IL
2015-02-04,DURBIN,Budget,D,IL
2015-02-04,DURBIN,Criminal Justice,D,IL
2015-02-04,DURBIN,Criminal Justice,D,IL
2015-02-04,CANTWELL,International Relations,D,WA
2015-02-04,BLUNT,Amendments,R,MO
2015-02-04,BLUNT,Amendments,R,MO
2015-02-04,BLUNT,Amendments,R,MO
2015-02-04,BLUNT,Amendments,R,MO
2015-02-04,WARNER,International Relations,D,VA
2015-02-04,WARNER,International Relations,D,VA
2015-02-04,WARNER,International Relations,D,VA
2015-02-04,WARNER,International Relations,D,VA
2015-02-04,McCONNELL,Nominations,R,KY
2015-02-04,LEAHY,Healthcare,D,VT
2015-02-04,LEAHY,Mental Health,D,VT
2015-02-04,ALEXANDER,Mental Health,R,TN
2015-02-04,ALEXANDER,Mental Health,R,TN
2015-02-04,AYOTTE,Healthcare,R,NH
2015-02-04,BOOZMAN,Healthcare,R,AR
2015-02-04,HELLER,Nominations,R,NV
2015-02-04,CASSIDY,Healthcare,R,LA
2015-02-04,BLUMENTHAL,Mental Health,D,CT
2015-02-04,LEE,Budget,R,UT
2015-02-04,LEE,Budget,R,UT
2015-02-04,JOHNSON,Civil Rights,R,WI
2015-02-04,COLLINS,Criminal Justice,R,ME
2015-02-04,STABENOW,International Relations,D,MI
2015-02-04,STABENOW,International Relations,D,MI
2015-02-05,LEE,Infrastructure,R,UT
2015-02-05,LEE,Infrastructure,R,UT
2015-02-05,LEE,Infrastructure,R,UT
2015-02-05,LEE,Infrastructure,R,UT
2015-02-05,LEE,Infrastructure,R,UT
2015-02-05,LEE,Infrastructure,R,UT
2015-02-05,LEE,Infrastructure,R,UT
2015-02-05,LEE,Infrastructure,R,UT
2015-02-05,LEE,Infrastructure,R,UT
2015-02-05,LEE,Infrastructure,R,UT
2015-02-05,HIRONO,International Relations,D,HI
2015-02-05,LEE,Climate Change,R,UT
2015-02-05,LEE,Climate Change,R,UT
2015-02-05,LEE,Climate Change,R,UT
2015-02-05,LEE,Climate Change,R,UT
2015-02-05,CORNYN,International Relations,R,TX
2015-02-05,CORNYN,International Relations,R,TX
2015-02-05,MURPHY,Mental Health,D,CT
2015-02-05,MURPHY,Mental Health,D,CT
2015-02-05,KING,International Relations,I,ME
2015-02-05,KING,Healthcare,I,ME
2015-02-05,KING,Healthcare,I,ME
2015-02-05,HATCH,Healthcare,R,UT
2015-02-05,REID,Healthcare,D,NV
2015-02-05,DURBIN,Healthcare,D,IL
2015-02-05,BOXER,Healthcare,D,CA
2015-02-05,VITTER,Healthcare,R,LA
2015-02-05,MIKULSKI,Healthcare,D,MD
2015-02-05,FISCHER,Criminal Justice,R,NE
2015-02-05,FISCHER,Criminal Justice,R,NE
2015-02-05,FISCHER,Criminal Justice,R,NE
2015-02-05,FISCHER,Criminal Justice,R,NE
2015-02-05,FISCHER,Criminal Justice,R,NE
2015-02-05,FISCHER,Criminal Justice,R,NE
2015-02-05,FISCHER,Criminal Justice,R,NE
2015-02-05,SCHUMER,Civil Rights,D,NY
2015-02-05,HATCH,Healthcare,R,UT
2015-02-09,McCONNELL,Mental Health,R,KY
2015-02-09,MARKEY,Mental Health,D,MA
2015-02-09,NELSON,Civil Rights,D,FL
2015-02-09,NELSON,International Relations,D,FL
2015-02-09,NELSON,Climate Change,D,FL
2015-02-09,MURPHY,Mental Health,D,CT
2015-02-09,INHOFE,Criminal Justice,R,OK
2015-02-09,REID,Criminal Justice,D,NV
2015-02-09,ALEXANDER,Climate Change,R,TN
2015-02-09,BURR,Healthcare,R,NC
2015-02-09,BLUNT,Mental Health,R,MO
2015-02-09,BOXER,Healthcare,D,CA
2015-02-09,GILLIBRAND,Healthcare,D,NY
2015-02-09,HELLER,Mental Health,R,NV
2015-02-09,VITTER,Healthcare,R,LA
2015-02-09,KING,International Relations,I,ME
2015-02-09,KING,International Relations,I,ME
2015-02-09,KING,International Relations,I,ME
2015-02-09,KING,International Relations,I,ME
2015-02-09,KING,International Relations,I,ME
2015-02-09,KING,International Relations,I,ME
2015-02-09,KING,International Relations,I,ME
2015-02-09,KING,International Relations,I,ME
2015-02-09,KING,International Relations,I,ME
2015-02-09,KING,International Relations,I,ME
2015-02-09,KING,International Relations,I,ME
2015-02-09,KING,International Relations,I,ME
2015-02-09,KING,International Relations,I,ME
2015-02-09,KING,International Relations,I,ME
2015-02-09,BROWN,Nominations,D,OH
2015-02-10,REID,International Relations,D,NV
2015-02-10,REID,International Relations,D,NV
2015-02-10,DURBIN,International Relations,D,IL
2015-02-10,DURBIN,Mental Health,D,IL
2015-02-10,DURBIN,Mental Health,D,IL
2015-02-10,THUNE,International Relations,R,SD
2015-02-10,HEINRICH,Budget,D,NM
2015-02-10,HEINRICH,Budget,D,NM
2015-02-10,CORNYN,Healthcare,R,TX
2015-02-10,CORNYN,Healthcare,R,TX
2015-02-10,HATCH,International Relations,R,UT
2015-02-10,FLAKE,Healthcare,R,AZ
2015-02-10,FLAKE,Amendments,R,AZ
2015-02-10,FLAKE,Amendments,R,AZ
2015-02-10,DURBIN,Civil Rights,D,IL
2015-02-10,KING,Mental Health,I,ME
2015-02-10,KING,Mental Health,I,ME
2015-02-10,CARPER,International Relations,D,DE
2015-02-10,WHITEHOUSE,Climate Change,D,RI
2015-02-10,CARPER,Healthcare,D,DE
2015-02-10,CRUZ,Healthcare,R,TX
2015-02-10,CRUZ,Healthcare,R,TX
2015-02-10,JOHNSON,Civil Rights,R,WI
2015-02-10,CARDIN,Mental Health,D,MD
2015-02-10,CARDIN,Mental Health,D,MD
2015-02-10,STABENOW,International Relations,D,MI
2015-02-11,BARRASSO,Climate Change,R,WY
2015-02-11,BARRASSO,Climate Change,R,WY
2015-02-11,HOEVEN,Climate Change,R,ND
2015-02-11,HOEVEN,Climate Change,R,ND
2015-02-11,HOEVEN,Climate Change,R,ND
2015-02-11,DAINES,Amendments,R,MT
2015-02-11,DAINES,Amendments,R,MT
2015-02-11,DAINES,Amendments,R,MT
2015-02-11,DAINES,Amendments,R,MT
2015-02-11,DAINES,Amendments,R,MT
2015-02-11,DAINES,Amendments,R,MT
2015-02-11,DAINES,Amendments,R,MT
2015-02-11,DAINES,Amendments,R,MT
2015-02-11,DAINES,Amendments,R,MT
2015-02-11,DAINES,Amendments,R,MT
2015-02-11,BARRASSO,Healthcare,R,WY
2015-02-11,BURR,Mental Health,R,NC
2015-02-11,CASSIDY,Education,R,LA
2015-02-11,CASSIDY,Education,R,LA
2015-02-11,CASSIDY,Education,R,LA
2015-02-11,CASSIDY,Education,R,LA
2015-02-12,DURBIN,Mental Health,D,IL
2015-02-12,DURBIN,Mental Health,D,IL
2015-02-12,DURBIN,Healthcare,D,IL
2015-02-12,MURPHY,Civil Rights,D,CT
2015-02-12,MURPHY,Civil Rights,D,CT
