party,state,phone,twitter_id,facebook_id,oc_email,fullname
D,NV,202-224-3542,SenatorReid,360249323990357,Sen.Reid@opencongress.org,Harry Reid
R,KS,202-224-4774,SenPatRoberts,205694792808927,Sen.Roberts@opencongress.org,Pat Roberts
R,ID,202-224-2752,SenatorRisch,,Sen.Risch@opencongress.org,James Risch
R,FL,202-224-3041,SenRubioPress,178910518800987,Sen.Rubio@opencongress.org,Marco Rubio
R,SD,202-224-5842,SenatorRounds,SenatorMikeRounds,Sen.Rounds@opencongress.org,Mike Rounds
I,VT,202-224-5141,SenSanders,9124187907,Sen.Sanders@opencongress.org,Bernard Sanders
D,NY,202-224-6542,SenSchumer,15771239406,Sen.Schumer@opencongress.org,Charles Schumer
R,AL,202-224-5744,SenShelby,50850514797,Sen.Shelby@opencongress.org,Richard Shelby
D,MI,202-224-4822,SenStabenow,,Sen.Stabenow@opencongress.org,Debbie Stabenow
R,AL,202-224-4124,SenatorSessions,23444159584,Sen.Sessions@opencongress.org,Jefferson Sessions
D,NH,202-224-2841,SenatorShaheen,127503767282103,Sen.Shaheen@opencongress.org,Jeanne Shaheen
R,SC,202-224-6121,SenatorTimScott,163207553711385,Sen.Scott@opencongress.org,Tim Scott
D,HI,202-224-3934,SenBrianSchatz,357806137657533,Sen.Schatz@opencongress.org,Brian Schatz
R,NE,202-224-4224,SenSasse,SenatorSasse,Sen.Sasse@opencongress.org,Benjamin Sasse
R,AK,202-224-3004,SenDanSullivan,SenDanSullivan,Sen.Sullivan@opencongress.org,Dan Sullivan
R,SD,202-224-2321,SenJohnThune,,Sen.Thune@opencongress.org,John Thune
R,PA,202-224-4254,SenToomey,189274047751251,Sen.Toomey@opencongress.org,Patrick Toomey
D,MT,202-224-2644,SenatorTester,210573031664,Sen.Tester@opencongress.org,Jon Tester
R,NC,202-224-6342,senthomtillis,1576257352609470,Sen.Tillis@opencongress.org,Thom Tillis
D,NM,202-224-6621,SenatorTomUdall,106433512869,Sen.Tomudall@opencongress.org,Tom Udall
R,LA,202-224-4623,,,Sen.Vitter@opencongress.org,David Vitter
R,MS,202-224-6253,SenatorWicker,158401580882385,Sen.Wicker@opencongress.org,Roger Wicker
D,OR,202-224-5244,RonWyden,,Sen.Wyden@opencongress.org,Ron Wyden
D,RI,202-224-2921,SenWhitehouse,194172833926853,Sen.Whitehouse@opencongress.org,Sheldon Whitehouse
D,VA,202-224-2023,MarkWarner,7935122852,Sen.Warner@opencongress.org,Mark Warner
D,MA,202-224-4543,SenWarren,131559043673264,Sen.Warren@opencongress.org,Elizabeth Warren
